#            P[bar]       dens[g/cm^3]                 xn                   TiO2                     VO                  Al2O3                   SiO2            Mg1.2SiO3.2                    H2O                     Fe                    FeS                      C                    SiC                    MgO          r[micron]               T[K]              Jstar
     6.8129207E-001     1.0692680E-005     6.5656973E-015         8.9651246E-011         8.3116969E-012         2.6218088E-009         1.0851190E-007         1.1273316E-008         0.0000000E+000         1.6520228E-010         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.7782747E-005     1.7861386E+003     2.9921431E-007
     6.1896582E-001     9.7144068E-006     7.6196090E-015         5.0878647E-011         4.7384505E-012         1.5075104E-009         7.0242335E-008         6.2691908E-009         0.0000000E+000         9.1469127E-011         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.4457126E-005     1.7861386E+003     3.3618431E-007
     5.6234133E-001     8.8256356E-006     8.8423563E-015         2.5868337E-011         2.4163332E-012         7.7310367E-010         3.9269952E-008         3.1462475E-009         0.0000000E+000         4.5778620E-011         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.1288362E-005     1.7861386E+003     3.7706701E-007
     5.1089698E-001     8.0181780E-006     1.0261803E-014         1.2094921E-011         1.1316366E-012         3.6321427E-010         1.9425649E-008         1.4605812E-009         0.0000000E+000         2.1220165E-011         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     8.5322842E-006     1.7861386E+003     4.2218777E-007
     4.6415888E-001     7.2845948E-006     1.1908654E-014         5.3694473E-012         5.0278813E-013         1.6162882E-010         8.8753179E-009         6.4615821E-010         0.0000000E+000         9.3809838E-012         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     6.3169556E-006     1.7861386E+003     4.7188783E-007
     4.2169650E-001     6.6181154E-006     1.3821192E-014         2.7024270E-012         2.5313306E-013         8.1423932E-011         4.5189991E-009         3.2475665E-010         0.0000000E+000         4.7133288E-012         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     4.8656428E-006     1.7861328E+003     5.2652152E-007
     3.8311868E-001     6.0126133E-006     1.6029007E-014         1.4037576E-012         1.3150888E-013         4.2314561E-011         2.3607609E-009         1.6857679E-010         0.0000000E+000         2.4461952E-012         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     3.7854811E-006     1.7861270E+003     5.8646148E-007
     3.4807006E-001     5.4625095E-006     1.8576754E-014         7.2491354E-013         6.7917994E-014         2.1856901E-011         1.2227652E-009         8.7022658E-011         0.0000000E+000         1.2626354E-012         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     2.9390118E-006     1.7861212E+003     6.5209199E-007
     3.1622777E-001     4.9627357E-006     2.1517065E-014         3.7302709E-013         3.4950836E-014         1.1248566E-011         6.3018674E-010         4.4771368E-011         0.0000000E+000         6.4955126E-013         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     2.2791378E-006     1.7861155E+003     7.2380948E-007
     2.8729848E-001     4.5086869E-006     2.4910989E-014         1.9153920E-013         1.7946695E-014         5.7762057E-012         3.2384058E-010         2.2986338E-011         0.0000000E+000         3.3347110E-013         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.7662554E-006     1.7861097E+003     8.0202089E-007
